date time|pos.|scanned|hostname|hasAdminRights|numOpenPortsRequired|maxRam|ramUsed|purchasedByPlayer|moneyAvailable|moneyMax|hackDifficulty|minDifficulty|currentHackingLevel|requiredHackingSkill|depth|files|hackable|serverGrowth|Cores|moneyPercent|serverValue
2024-08-06 19:42:42|-1|true|home|true|5|2048|6.85|true|227743575.53903407|0|1.078|1|264|1|0|BruteSSH.exe,FTPCrack.exe,NUKE.exe,b1t_flum3.exe,connect.js,contracts.js,contracts/Algorithmic_Stock_Trader_I.js,contracts/Algorithmic_Stock_Trader_II.js,contracts/Algorithmic_Stock_Trader_III.js,contracts/Algorithmic_Stock_Trader_IV.js,contracts/Array_Jumping_Game.js,contracts/Array_Jumping_Game_II.js,contracts/Compression_I:_RLE_Compression.js,contracts/Compression_II:_LZ_Decompression.js,contracts/Compression_III:_LZ_Compression.js,contracts/Encryption_I:_Caesar_Cipher.js,contracts/Encryption_II:_Vigenère_Cipher.js,contracts/Find_All_Valid_Math_Expressions.js,contracts/Find_Largest_Prime_Factor.js,contracts/Generate_IP_Addresses.js,contracts/HammingCodes:_Encoded_Binary_to_Integer.js,contracts/HammingCodes:_Integer_to_Encoded_Binary.js,contracts/Merge_Overlapping_Intervals.js,contracts/Minimum_Path_Sum_in_a_Triangle.js,contracts/Proper_2-Coloring_of_a_Graph.js,contracts/Sanitize_Parentheses_in_Expression.js,contracts/Shortest_Path_in_a_Grid.js,contracts/Spiralize_Matrix.js,contracts/Subarray_with_Maximum_Sum.js,contracts/Total_Ways_to_Sum.js,contracts/Total_Ways_to_Sum_II.js,contracts/Unique_Paths_in_a_Grid_I.js,contracts/Unique_Paths_in_a_Grid_II.js,contracts/contract_scripts.txt,csec-test.msg,data/servers.txt,data/servers_log.txt,data/solved_contracts.txt,fl1ght.exe,hack.js,hackers-starting-handbook.lit,j0.msg,j1.msg,j2.msg,manager.js,nitesec-test.msg,periodic_scan.js,print_servers.js,purchase_server.js,scan.js,test.js,utils/contractUtils.js,utils/utils.js|false|1|1|NaN|0
2024-08-06 19:42:42|1|true|n00dles|true|0|4|0|false|70000|1750000|1|1|264|1|0|contract-425673.cct,contract-469038.cct,hack.js|true|3000|1|0.04|5.25
2024-08-06 19:42:42|1.1|true|zer0|false|1|32|0|false|7500000|187500000|25|8|264|75|1|contract-207855.cct|true|40|1|0.04|0.9375
2024-08-06 19:42:42|2|true|foodnstuff|true|0|16|0|false|2000000|50000000|10|3|264|1|0|sector-12-crime.lit|true|5|1|0.04|0.08333333333333333
2024-08-06 19:42:42|3|true|sigma-cosmetics|false|0|16|0|false|2300000|57500000|10|3|264|5|0||true|10|1|0.04|0.19166666666666668
2024-08-06 19:42:42|3.1|true|CSEC|true|1|8|0|false|0|0|1|1|264|58|1|democracy-is-dead.lit|true|1|1|NaN|0
2024-08-06 19:42:42|3.1.1|true|omega-net|false|2|32|0|false|67582815|1689570375|26|9|264|197|2|contract-815240.cct,the-new-god.lit|true|36|2|0.04|13.516563
2024-08-06 19:42:42|4|true|joesguns|false|0|16|0|false|2500000|62500000|15|5|264|10|0|contract-345986.cct,contract-799017.cct|true|20|1|0.04|0.25
2024-08-06 19:42:42|5|true|hong-fang-tea|false|0|16|0|false|3000000|75000000|15|5|264|30|0|brighter-than-the-sun.lit|true|20|1|0.04|0.3
2024-08-06 19:42:42|6|true|harakiri-sushi|false|0|16|0|false|4000000|100000000|15|5|264|40|0|contract-576865.cct|true|40|1|0.04|0.8
2024-08-06 19:42:42|6.1|true|nectar-net|false|0|16|0|false|2750000|68750000|20|7|264|20|1||true|25|1|0.04|0.24553571428571427
2024-08-06 19:42:42|6.1.1|true|silver-helix|false|2|64|0|false|45000000|1125000000|30|10|264|150|2|contract-195529.cct,new-triads.lit|true|30|3|0.04|10.125
2024-08-06 19:42:42|6.1.1.1|true|crush-fitness|false|2|0|0|false|40562402|1014060050|45|15|264|241|3|contract-807660.cct|true|32|4|0.04|8.653312426666666
2024-08-06 19:42:42|6.1.1.1.1|true|zb-institute|false|5|128|0|false|816796768|20419919200|74|25|264|766|4|contract-428735.cct,contract-592685.cct|false|78|5|0.04|318.55073952
2024-08-06 19:42:42|6.1.1.1.1.1|true|rho-construction|false|3|32|0|false|537534560|13438364000|59|20|264|502|5|contract-208234.cct,contract-723268.cct,contract-801715.cct|false|48|6|0.04|193.5124416
2024-08-06 19:42:42|6.1.1.1.2|true|summit-uni|false|3|16|0|false|318698537|7967463425|59|20|264|437|4|secret-societies.lit,synthetic-muscles.lit,the-failed-frontier.lit|false|43|3|0.04|51.39013909125
2024-08-06 19:42:42|6.1.1.2|true|avmnite-02h|true|2|64|0|false|0|0|1|1|264|218|3|democracy-is-dead.lit|true|1|2|NaN|0
2024-08-06 19:42:42|6.1.1.2.1|true|catalyst|false|3|32|0|false|541877208|13546930200|69|23|264|427|4|tensions-in-tech-race.lit|false|50|4|0.04|117.79939304347826
2024-08-06 19:42:42|6.1.1.2.1.1|true|alpha-ent|false|4|16|0|false|601652586|15041314650|56|19|264|561|5|sector-12-crime.lit|false|57|3|0.04|135.37183184999998
2024-08-06 19:42:42|6.1.1.2.1.1.1|true|galactic-cyber|false|5|0|0|false|812206487|20305162175|57|19|264|860|6||false|83|4|0.04|354.8059916894737
2024-08-06 19:42:42|6.1.1.2.1.1.2|true|global-pharm|false|4|64|0|false|1527427306|38185682650|78|26|264|815|6|A-Green-Tomorrow.lit|false|81|4|0.04|475.8523530230769
2024-08-06 19:42:42|6.1.1.2.1.1.2.1|true|omnia|false|5|32|0|false|911733411|22793335275|88|29|264|857|7|history-of-synthoids.lit|false|64|7|0.04|352.1177311448276
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.1|true|defcomm|false|5|0|0|false|925473936|23136848400|88|29|264|1008|8|contract-880445.cct,contract-985257.cct|false|70|8|0.04|446.7805208275862
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.2|true|icarus|false|5|0|0|false|980418547|24510463675|95|32|264|852|8||false|93|9|0.04|641.1018154992188
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.2.1|true|infocomm|false|5|0|0|false|845520253|21138006325|75|25|264|933|9||false|41|6|0.04|207.997982238
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.2.2|true|taiyang-digital|false|5|0|0|false|835780437|20894510925|72|24|264|908|9|A-Green-Tomorrow.lit,brighter-than-the-sun.lit|false|72|7|0.04|438.784729425
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.2.2.1|true|applied-energetics|false|4|0|0|false|709767009|17744175225|74|25|264|837|10||false|71|8|0.04|403.147661112
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.2.2.1.1|true|helios|false|5|256|0|false|626507719|15662692975|94|31|264|859|11|beyond-man.lit,contract-671822.cct|false|77|11|0.04|427.9451919298387
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.2.2.1.1.1|true|omnitek|false|5|128|0|false|17887121853|447178046325|90|30|264|927|12|coded-intelligence.lit,history-of-synthoids.lit|false|99|13|0.04|19183.9381873425
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.2.2.1.1.1.1|true|nwo|false|5|0|0|false|27248926333|681223158325|99|33|264|1239|13|contract-439682.cct,contract-796939.cct,the-hidden-world.lit|false|72|10|0.04|14863.050727090907
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.2.2.2|true|run4theh111z|false|4|256|0|false|0|0|1|1|264|533|10|contract-341541.cct,simulated-reality.lit,the-new-god.lit|false|1|6|NaN|0
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.2.2.2.1|true|vitalife|false|5|32|0|false|721411607|18035290175|87|29|264|804|11|A-Green-Tomorrow.lit|false|77|12|0.04|574.6416593689655
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.2.2.2.1.1|true|4sigma|false|5|0|0|false|22263852701|556596317525|72|24|264|1210|12||false|77|13|0.04|23214.70474343854
2024-08-06 19:42:42|6.1.1.2.1.1.2.1.2.2.2.1.1.1|true|b-and-a|false|5|0|0|false|20950509894|523762747350|77|26|264|920|13||false|66|13|0.04|17284.17066255
